Teacher,Student,Pair,Method,gsm8k,AddSub,SingleEq,AQuA,SVAMP,MultiArith
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,SFT,84.51343178749084,87.8542959690094,87.29828596115112,77.7230978012085,85.43040752410889,87.999826669693
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,KD,86.35470271110535,88.90697360038757,88.2758378982544,78.69637608528137,86.38141751289368,90.0881826877594
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,SFT,86.14972829818726,88.30479979515076,87.9287838935852,79.81909513473511,86.11334562301636,89.85282182693481
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,KD,87.63443231582642,89.7731363773346,89.12745714187622,81.49190545082092,87.06510066986084,90.34051299095154
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,SFT,85.96416115760803,88.69597911834717,88.7250304222107,83.46806764602661,86.6970419883728,88.53071928024292
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,KD,87.91764974594116,90.81647992134094,90.80352783203125,82.15416073799133,88.38249444961548,90.08345603942871
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,SFT,87.55219578742981,90.20251035690308,90.40963649749756,82.31616616249084,88.3276879787445,90.14459252357483
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,KD,88.59042525291443,90.83807468414307,90.88860750198364,84.61229205131531,88.70733380317688,90.57483077049255
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,SFT,88.05100917816162,89.19658660888672,89.88363742828369,83.24933052062988,87.9425048828125,89.7681474685669
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,KD,88.96380662918091,91.2051260471344,91.18095636367798,85.03801226615906,89.14514780044556,90.93560576438904
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,SFT,89.13753628730774,90.68455100059509,91.0077691078186,85.2972686290741,88.89451622962952,91.06506109237671
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,KD,89.47787284851074,90.8659040927887,90.71155786514282,85.63340902328491,89.28608894348145,91.08482599258423
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,SFT,85.08791327476501,87.51220107078552,87.90595531463623,81.50326013565063,86.12239956855774,88.49403858184814
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,KD,86.26314997673035,88.97472023963928,89.3147885799408,80.06966710090637,86.34965419769287,89.26816582679749
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,SFT,87.06756234169006,88.77862691879272,89.25782442092896,80.7679533958435,87.03731298446655,89.67185616493225
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,KD,87.49094605445862,89.20760750770569,89.52919244766235,81.27564787864685,87.21364736557007,89.38677906990051
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,SFT,86.01641654968262,88.60517740249634,88.51966261863708,82.9342246055603,86.89141869544983,88.52710127830505
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,KD,87.6406192779541,90.23186564445496,90.375417470932,82.62988328933716,87.79302835464478,89.99847173690796
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,SFT,87.67533898353577,89.56459760665894,89.73850011825562,82.1736991405487,88.27511072158813,90.10258913040161
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,KD,88.80233764648438,91.25651121139526,91.21830463409424,84.73702669143677,88.97918462753296,90.79758524894714
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,SFT,88.00745606422424,89.12068605422974,89.76109623908997,83.4451973438263,87.74048089981079,89.79549407958984
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,KD,89.4793152809143,91.35891795158386,90.96978902816772,85.14983654022217,89.10861611366272,90.83754420280457
