Teacher,Student,Pair,Method,ARC-Easy,winogrande,hellaswag,openbookqa,boolq,social_i_qa,piqa,ARC-Challenge
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,SFT,58.5016835016835,48.77663772691397,27.165903206532565,48.0,54.70948012232416,51.5353121801433,55.549510337323184,42.32081911262799
Llama-3.1-8B,Llama-3.2-1B,Llama-3.1-8B -> Llama-3.2-1B,KD,73.9057239057239,66.85082872928176,39.922326229834695,65.2,58.96024464831804,65.91606960081884,71.05549510337323,55.20477815699659
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,SFT,82.91245791245791,70.08681925808997,64.79784903405697,74.4,61.55963302752293,71.59672466734904,79.97823721436343,70.73378839590444
Llama-3.1-8B,Llama-3.2-3B,Llama-3.1-8B -> Llama-3.2-3B,KD,86.15319865319864,77.1112865035517,77.88289185421232,79.2,68.9908256880734,74.71852610030706,82.80739934711643,75.51194539249147
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,SFT,66.45622895622895,46.56669297553275,29.884485162318263,60.199999999999996,53.24159021406728,55.22006141248721,61.37105549510338,50.93856655290102
Qwen2.5-14B,Qwen2.5-0.5B,Qwen2.5-14B -> Qwen2.5-0.5B,KD,71.88552188552188,55.16969218626677,37.62198765186218,65.0,27.278287461773697,58.95598771750256,63.81936887921654,55.71672354948806
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,SFT,84.8063973063973,61.720599842146804,64.5488946425015,76.2,62.079510703363916,63.203684749232345,77.31229597388466,72.95221843003414
Qwen2.5-14B,Qwen2.5-1.5B,Qwen2.5-14B -> Qwen2.5-1.5B,KD,89.77272727272727,67.008681925809,72.64489145588529,82.19999999999999,65.77981651376147,71.64790174002047,82.10010881392819,77.98634812286689
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,SFT,91.91919191919192,70.1657458563536,81.876120294762,82.8,60.73394495412844,72.67144319344933,82.3721436343852,80.71672354948805
Qwen2.5-14B,Qwen2.5-3B,Qwen2.5-14B -> Qwen2.5-3B,KD,92.50841750841751,75.92738752959748,86.36725751842262,85.6,68.47094801223241,77.94268167860798,84.22198041349293,84.30034129692832
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,SFT,94.36026936026936,75.76953433307024,90.59948217486557,89.8,66.36085626911316,75.99795291709314,87.54080522306855,88.56655290102388
Qwen2.5-14B,Qwen2.5-7B,Qwen2.5-14B -> Qwen2.5-7B,KD,95.03367003367003,79.40015785319653,91.40609440350528,90.2,69.7553516819572,81.06448311156602,88.73775843307943,89.67576791808874
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,SFT,67.5925925925926,47.277032359905284,30.20314678350926,62.0,55.5045871559633,56.038894575230294,61.969532100108815,52.218430034129696
Qwen2.5-3B,Qwen2.5-0.5B,Qwen2.5-3B -> Qwen2.5-0.5B,KD,73.61111111111111,58.80031570639306,40.53973312089225,65.2,57.61467889908257,61.873080859774824,68.71599564744287,57.93515358361775
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,SFT,83.88047138047138,63.77269139700079,63.682533359888474,73.0,65.2599388379205,63.71545547594678,76.22415669205658,71.58703071672356
Qwen2.5-3B,Qwen2.5-1.5B,Qwen2.5-3B -> Qwen2.5-1.5B,KD,2.6094276094276094,25.177584846093133,10.476000796654054,1.2,43.088685015290515,1.4329580348004094,0.2720348204570185,2.474402730375427
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,SFT,66.7087542087542,49.25019731649566,30.00398327026489,59.4,54.801223241590215,54.350051177072665,61.86071817192601,51.27986348122867
Qwen2.5-7B,Qwen2.5-0.5B,Qwen2.5-7B -> Qwen2.5-0.5B,KD,74.36868686868688,59.66850828729282,45.01095399322844,66.2,58.89908256880734,60.23541453428864,70.5114254624592,58.02047781569966
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,SFT,83.83838383838383,63.85161799526441,64.60864369647481,75.4,65.53516819571865,62.74309109518935,77.25788900979326,73.72013651877133
Qwen2.5-7B,Qwen2.5-1.5B,Qwen2.5-7B -> Qwen2.5-1.5B,KD,31.22895622895623,6.787687450670877,1.005775741884087,33.0,10.0,15.967246673490276,8.324265505984767,32.16723549488055
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,SFT,90.74074074074075,69.92896606156275,81.20892252539335,82.19999999999999,62.44648318042814,69.70317297850563,81.88248095756256,80.63139931740614
Qwen2.5-7B,Qwen2.5-3B,Qwen2.5-7B -> Qwen2.5-3B,KD,18.98148148148148,8.208366219415943,1.3045210117506474,15.6,68.25688073394495,24.15557830092119,29.325353645266595,16.723549488054605
